atc_name,atc_code
combinations,A01AA30
various,A01AB11
various,A01AD11
combinations,A02AA10
combinations,A02AB10
combinations,A02AC10
combinations,A06AG20
combinations,A07BC30
combinations,A10AB30
combinations,A10AC30
combinations,A10AD30
combinations,A10AE30
combinations,A11CC20
combinations,B01AC30
combinations,B02BC30
combinations,B05BA10
combinations,B05CA10
combinations,B05CB10
combinations,B05CX10
combinations,C01CA30
combinations,D01AE20
others,D11AC30
combinations,G03GA30
combinations,G04BE30
combinations,J01CA20
combinations,J01CE30
combinations,J01EB20
combinations,J01EC20
combinations,J01ED20
combinations,J06BB30
combinations,J07BC20
various,M02AX10
combinations,N01BB20
combinations,N06DX30
various,R01AX10
combinations,R01AX30
various,R02AA20
combinations,R05CA10
combinations,R05CB10
combinations,R05DA20
combinations,R05DB20
combinations,R07AA30
combinations,S01HA30
combinations,S02DA30
various,V01AA20
