atc_name,atc_code
sodium fluoride,A01AA01
sodium monofluorophosphate,A01AA02
olaflur,A01AA03
stannous fluoride,A01AA04
"sodium fluoride, combinations",A01AA51
hydrogen peroxide,A01AB02
chlorhexidine,A01AB03
amphotericin B,A01AB04
polynoxylin,A01AB05
domiphen,A01AB06
oxyquinoline,A01AB07
neomycin,A01AB08
miconazole,A01AB09
natamycin,A01AB10
hexetidine,A01AB12
tetracycline,A01AB13
benzoxonium chloride,A01AB14
tibezonium iodide,A01AB15
mepartricin,A01AB16
metronidazole,A01AB17
clotrimazole,A01AB18
sodium perborate,A01AB19
chlortetracycline,A01AB21
doxycycline,A01AB22
minocycline,A01AB23
octenidine,A01AB24
oxytetracycline,A01AB25
chlorhexidine and cetylpyridinium,A01AB53
triamcinolone,A01AC01
dexamethasone,A01AC02
hydrocortisone,A01AC03
prednisolone,A01AC04
"prednisolone, combinations",A01AC54
epinephrine,A01AD01
benzydamine,A01AD02
acetylsalicylic acid,A01AD05
adrenalone,A01AD06
amlexanox,A01AD07
becaplermin,A01AD08
magnesium carbonate,A02AA01
magnesium oxide,A02AA02
magnesium peroxide,A02AA03
magnesium hydroxide,A02AA04
magnesium silicate,A02AA05
aluminium hydroxide,A02AB01
algeldrate,A02AB02
aluminium phosphate,A02AB03
dihydroxialumini sodium carbonate,A02AB04
aluminium acetoacetate,A02AB05
aloglutamol,A02AB06
aluminium glycinate,A02AB07
calcium carbonate,A02AC01
calcium silicate,A02AC02
ordinary salt combinations,A02AD01
magaldrate,A02AD02
almagate,A02AD03
hydrotalcite,A02AD04
almasilate,A02AD05
magaldrate and antiflatulents,A02AF01
ordinary salt combinations and antiflatulents,A02AF02
cimetidine,A02BA01
ranitidine,A02BA02
famotidine,A02BA03
nizatidine,A02BA04
niperotidine,A02BA05
roxatidine,A02BA06
ranitidine bismuth citrate,A02BA07
lafutidine,A02BA08
"cimetidine, combinations",A02BA51
"famotidine, combinations",A02BA53
misoprostol,A02BB01
enprostil,A02BB02
omeprazole,A02BC01
pantoprazole,A02BC02
lansoprazole,A02BC03
rabeprazole,A02BC04
esomeprazole,A02BC05
dexlansoprazole,A02BC06
dexrabeprazole,A02BC07
vonoprazan,A02BC08
tegoprazan,A02BC09
fexuprazan,A02BC10
ilaprazole,A02BC11
"omeprazole, combinations",A02BC51
"lansoprazole, combinations",A02BC53
"rabeprazole, combinations",A02BC54
"omeprazole, amoxicillin and metronidazole",A02BD01
"lansoprazole, tetracycline and metronidazole",A02BD02
"lansoprazole, amoxicillin and metronidazole",A02BD03
"pantoprazole, amoxicillin and clarithromycin",A02BD04
"omeprazole, amoxicillin and clarithromycin",A02BD05
"esomeprazole, amoxicillin and clarithromycin",A02BD06
"lansoprazole, amoxicillin and clarithromycin",A02BD07
"bismuth subcitrate, tetracycline and metronidazole",A02BD08
"lansoprazole, clarithromycin and tinidazole",A02BD09
"lansoprazole, amoxicillin and levofloxacin",A02BD10
"pantoprazole, amoxicillin, clarithromycin and metronidazole",A02BD11
"rabeprazole, amoxicillin and clarithromycin",A02BD12
"rabeprazole, amoxicillin and metronidazole",A02BD13
"vonoprazan, amoxicillin and clarithromycin",A02BD14
"vonoprazan, amoxicillin and metronidazole",A02BD15
"omeprazole, amoxicillin and rifabutin",A02BD16
vonoprazan and amoxicillin,A02BD17
carbenoxolone,A02BX01
sucralfate,A02BX02
pirenzepine,A02BX03
methiosulfonium chloride,A02BX04
bismuth subcitrate,A02BX05
proglumide,A02BX06
gefarnate,A02BX07
sulglicotide,A02BX08
acetoxolone,A02BX09
zolimidine,A02BX10
troxipide,A02BX11
bismuth subnitrate,A02BX12
alginic acid,A02BX13
rebamipide,A02BX14
teprenone,A02BX15
irsogladine,A02BX16
"carbenoxolone, combinations excl. psycholeptics",A02BX51
"carbenoxolone, combinations with psycholeptics",A02BX71
"gefarnate, combinations with psycholeptics",A02BX77
oxyphencyclimine,A03AA01
camylofin,A03AA03
mebeverine,A03AA04
trimebutine,A03AA05
rociverine,A03AA06
dicycloverine,A03AA07
dihexyverine,A03AA08
difemerine,A03AA09
piperidolate,A03AA30
benzilone,A03AB01
glycopyrronium bromide,A03AB02
oxyphenonium,A03AB03
penthienate,A03AB04
propantheline,A03AB05
otilonium bromide,A03AB06
methantheline,A03AB07
tridihexethyl,A03AB08
isopropamide,A03AB09
hexocyclium,A03AB10
poldine,A03AB11
mepenzolate,A03AB12
bevonium,A03AB13
pipenzolate,A03AB14
diphemanil,A03AB15
(2-benzhydryloxyethyl)diethyl-methylammonium iodide,A03AB16
tiemonium iodide,A03AB17
prifinium bromide,A03AB18
timepidium bromide,A03AB19
fenpiverinium,A03AB21
"oxyphenonium, combinations",A03AB53
dimethylaminopropionylphenothiazine,A03AC02
nicofetamide,A03AC04
tiropramide,A03AC05
papaverine,A03AD01
drotaverine,A03AD02
moxaverine,A03AD30
alosetron,A03AE01
cilansetron,A03AE03
fenpiprane,A03AX01
diisopromine,A03AX02
chlorbenzoxamine,A03AX03
pinaverium,A03AX04
fenoverine,A03AX05
idanpramine,A03AX06
proxazole,A03AX07
alverine,A03AX08
trepibutone,A03AX09
isometheptene,A03AX10
caroverine,A03AX11
phloroglucinol,A03AX12
silicones,A03AX13
valethamate,A03AX14
menthae piperitae aetheroleum,A03AX15
trimethyldiphenylpropylamine,A03AX30
"alverine, combinations",A03AX58
atropine,A03BA01
hyoscyamine,A03BA03
belladonna total alkaloids,A03BA04
butylscopolamine,A03BB01
methylatropine,A03BB02
methylscopolamine,A03BB03
fentonium,A03BB04
cimetropium bromide,A03BB05
homatropine methylbromide,A03BB06
isopropamide and psycholeptics,A03CA01
clidinium and psycholeptics,A03CA02
oxyphencyclimine and psycholeptics,A03CA03
otilonium bromide and psycholeptics,A03CA04
glycopyrronium bromide and psycholeptics,A03CA05
bevonium and psycholeptics,A03CA06
ambutonium and psycholeptics,A03CA07
diphemanil and psycholeptics,A03CA08
pipenzolate and psycholeptics,A03CA09
emepronium and psycholeptics,A03CA30
propantheline and psycholeptics,A03CA34
methylscopolamine and psycholeptics,A03CB01
belladonna total alkaloids and psycholeptics,A03CB02
atropine and psycholeptics,A03CB03
homatropine methylbromide and psycholeptics,A03CB04
hyoscyamine and psycholeptics,A03CB31
tropenzilone and analgesics,A03DA01
pitofenone and analgesics,A03DA02
bevonium and analgesics,A03DA03
ciclonium and analgesics,A03DA04
camylofin and analgesics,A03DA05
trospium and analgesics,A03DA06
tiemonium iodide and analgesics,A03DA07
butylscopolamine and analgesics,A03DB04
metoclopramide,A03FA01
cisapride,A03FA02
domperidone,A03FA03
bromopride,A03FA04
alizapride,A03FA05
clebopride,A03FA06
itopride,A03FA07
cinitapride,A03FA08
mosapride,A03FA09
acotiamide,A03FA10
ondansetron,A04AA01
granisetron,A04AA02
tropisetron,A04AA03
dolasetron,A04AA04
palonosetron,A04AA05
"palonosetron, combinations",A04AA55
scopolamine,A04AD01
cerium oxalate,A04AD02
chlorobutanol,A04AD04
metopimazine,A04AD05
dronabinol,A04AD10
nabilone,A04AD11
aprepitant,A04AD12
casopitant,A04AD13
rolapitant,A04AD14
"scopolamine, combinations",A04AD51
"chlorobutanol, combinations",A04AD54
chenodeoxycholic acid,A05AA01
ursodeoxycholic acid,A05AA02
cholic acid,A05AA03
obeticholic acid,A05AA04
ursodoxicoltaurine,A05AA05
nicotinyl methylamide,A05AB01
piprozolin,A05AX01
hymecromone,A05AX02
cyclobutyrol,A05AX03
maralixibat chloride,A05AX04
odevixibat,A05AX05
elafibranor,A05AX06
seladelpar,A05AX07
arginine glutamate,A05BA01
silymarin,A05BA03
citiolone,A05BA04
epomediol,A05BA05
ornithine oxoglurate,A05BA06
tidiacic arginine,A05BA07
glycyrrhizic acid,A05BA08
metadoxine,A05BA09
phospholipids,A05BA10
liquid paraffin,A06AA01
docusate sodium,A06AA02
"liquid paraffin, combinations",A06AA51
oxyphenisatine,A06AB01
bisacodyl,A06AB02
dantron,A06AB03
phenolphthalein,A06AB04
castor oil,A06AB05
senna glycosides,A06AB06
cascara,A06AB07
sodium picosulfate,A06AB08
bisoxatin,A06AB09
contact laxatives in combination,A06AB20
contact laxatives in combination with belladonna alkaloids,A06AB30
"bisacodyl, combinations",A06AB52
"dantron, combinations",A06AB53
"senna glycosides, combinations",A06AB56
"cascara, combinations",A06AB57
"sodium picosulfate, combinations",A06AB58
ispaghula (psylla seeds),A06AC01
ethulose,A06AC02
sterculia,A06AC03
